sprocCR40.txt	sprocCR43.txt
GS1-53N21	0.070619	0.067901
GS1-35M23	0.025789	-0.064538
RP11-22M18	0.074146	0.039115
GS1-207P11	-0.106194	-0.00686
GS-93M10	0.009732	0.092749
CTB-102E19	0.0923335	0.1499385
RP11-46O13	0.021832	-0.016085
CTB-141D22	-0.012748	0.06235
CTD-2074H8	-0.073829	0.23525
CTB-79L9	-0.093736	0.037313
RP11-126B8	-0.354333	-0.068323
RP11-49N15	0.054517	0.026742
CTD-2007G21	0.033671	0.113524
RP11-127F3	0.003966	0.104723
RP11-32C15	0.064481	-0.055455
CTC-224F8	-0.043062	0.119764
RP11-10D8	0.053771	0.068501
GS1-87A9	0.004332	0.020953
RP11-213E22	0.121829	0.086952
RP4-747G18	0.016997	0.033153
CTB-140E3	-0.057097	0.007752
CTC-305I2	-0.128213	-0.003431
CTB-66D11	-0.013322	0.02051
RP11-72J24	0.102401	0.119473
RP11-61C18	0.065645	0.082809
RP11-46J20	-0.065038	-0.022252
RP11-77E2	0.024508	0.02891
RP11-86P18	-0.108173	-0.016022
CTB-22K14	0.06333	0.07661
CTC-277H20	-0.105272	0.039172
RP11-92J13	-0.033789	0.010568
RP11-78C11	-0.036671	-0.010758
RP11-110C11	-0.022659	-0.016957
RP11-51M22	0.057959	0.087385
RP1-8L24	-0.051008	0.101208
RP1-268L15	0.035913	0.055701
CTB-54J7	-0.048811	0.018994
CTD-2039F11	-2.581348	0.065682
CTB-185C18	-2.789456	0.066079
CTD-2041G23	0.042219	0.085546
GS1-74E4	-2.857361	0.016178
GS1-193F11	-0.090842	0.057566
RP11-112P4	0.111367	0.093083
CTC-361L6	-0.085013	-0.037897
CTB-97E14	-0.017434	0.109552
RP11-9C22	0.141003	0.12169
CTB-162H9	0.491265	0.080807
RP11-35B6	0.122916	0.051402
GS1-259E18	-0.112688	-0.066831
RP11-19G12	0.032918	0.180009
RP11-38P11	-0.029918	-0.138714
GS1-199H20	-0.155258	0.028805
RP11-118J20	-0.023018	0.043312
GS1-9J21	-0.0012	-0.025325
RP11-140I14	-0.175094	-0.065109
GS1-180P12	-0.107861	-0.012602
RP11-88K4	-0.039753	-0.019839
RP11-22G20	-0.045204	0.012084
RP11-148F17	-2.975012	0.069128
RP11-29B3	0.016142	0.032979
RP11-137O4	-0.047566	0.0038
CTB-162P22	0.061257	0.072929
RP11-269N18	0.030446	0.007354
RP11-172L23	0.018866	0.038269
GS1-119B11	-0.069634	0.052069
CTD-2051H12	0.015457	0.01362
RP11-188A12	-0.14809	0.170774
RMC07P028	-0.107696	-0.043147
GS1-53I5	-0.068792	0.044679
RP11-106C6	-0.076074	-0.045672
RP11-81I21	0.049327	0.115714
CTD-2027I18	0.014336	0.056175
RP11-43L19	0.196298	0.131517
GS1-203O3	0.064851	0.176577
GS1-207L18	-0.069214	0.042889
GS1-121J16	-0.064982	0.062118
RP11-58F7	0.10878	0.138134
GS1-53F14	-0.07322	0.040086
RP1-3K23	0.020654	0.092772
GS1-77L23	-0.008433	0.007378
RP11-240A17	0.069465	-0.044113
RP11-117P11	0.128777	0.016583
RP11-82K8	-0.103192	-0.043184
RP11-246G24	0.007931	-0.04645
RP11-121F7	0.154514	0.105634
RP11-113B7	-0.040273	-0.092979
RP11-140K14	-0.070019	0.041766
RP11-112O8	0.048292	0.022017
RP11-287P18	0.176228	0.147848
RP11-122N11	0.131354	0.120961
RP11-235F10	0.021434	-0.046705
RP11-277K10	-0.023897	-0.071556
RP11-262B15	0.057427	0.012108
RP11-112G9	0.019778	0.029895
RP11-241I4	-0.13506	0.047933
RP11-235O5	-0.031544	-0.02588
RP11-252K12	-0.039001	0.037976
RP11-254E10	0.02797	0.029699
RP11-235I5	-0.01606	0.033403
RP11-218N24	0.023793	0.053372
RP11-31B7	-0.058784	-0.001643
RP11-92C1	0.014736	0.013627
RP11-236O1	-0.045541	0.005948
RP11-182G2	0.017354	-0.055022
RP11-274K12	-0.018725	-0.035072
RP11-107P5	-0.013231	0.039605
CTD-2105I3	-2.806135	0.071011
RP11-51C1	0.012482	-0.040193
RP11-191P9	-0.016077	-0.003607
RP11-233H21	0.026136	-0.006962
RP11-93D21	0.015781	-0.046161
RP11-50E20	-0.018925	-0.055439
RP11-110I16	0.021435	-0.069156
RP11-89M8	0.044466	-1.2e-05
RP11-204M16	0.09541	0.05181
RP11-288N10	-0.038894	-0.024155
RP11-76B12	0.00832	-0.012677
RP11-70L1	0.003793	0.035447
RP11-164H24	0.02013	0.001704
RP11-232J22	0.068314	-0.032008
RP11-199N14	-0.055876	-0.040193
RP11-138J2	0.078405	0.016769
RP11-116F9	0.045225	0.040437
RP11-275K7	-0.004112	-0.007655
RP11-277I21	0.120187	0.067115
RP11-253I17	0.023806	0.055617
RP11-5J20	-0.078893	-0.043872
RP11-287N19	0.125005	0.027547
CTD-2020E14	0.022985	0.023801
RP11-57I3	0.067862	0.042409
RP11-122D17	0.042489	0.055239
RP11-258M15	0.109594	-0.013576
RP11-274F14	0.111083	0.084612
RP11-237M13	-0.024452	0.009641
RP11-210F15	-0.041964	0.061681
RP11-265K5	0.073914	0.051799
RP11-100B16	0.076691	0.036843
RP11-262I23	-0.05059	-0.082612
RP11-133O7	0.024649	-0.032417
RP11-48D21	0.059355	-0.030177
RP11-284J3	0.12789	0.015177
RP11-282J24	0.033215	0.060278
RP11-73M19	0.03548	0.066433
RP11-12L15	0.080471	0.084599
RP11-268N2	0.035481	0.0642305
RP11-149G12	0.0026595	0.0183565
RP11-188C10	0.0173095	0.003098
RP11-83O14	0.0977225	0.0622525
RP11-175H20	0.036487	-0.00883
RP11-221P7	0.083266	-0.3545965
RP11-105K5	-0.241418	-0.074076
RP11-99M6	-0.380933	-0.0081535
RP11-172D2	0.0830605	0.048465
RP11-213K11	0.101832	0.035213
RP11-22I14	0.10053	0.09033
RP11-258B14	0.049087	0.131927
RP11-252M13	0.13231	0.035482
RP11-92M10	0.022534	0.069857
RP11-282D10	0.065663	0.045583
RP11-212P10	0.113509	0.100732
RP11-271O1	0.154489	0.032619
RP11-120N14	-0.011496	0.027346
RP11-107F3	-0.020748	-0.048544
RP11-117N14	0.010065	-0.071316
RP11-33D7	0.008977	0.033967
RP11-203C23	0.122834	0.000275
RP11-225J6	0.105222	0.06127
RP11-65J24	0.090812	0.035476
RP11-93J13	0.12734	-0.035875
RP11-90B7	-0.000823	0.142828
RP11-115D10	0.01368	0.049657
RP11-214E11	0.033584	0.10077
RP11-93E11	0.021832	0.001142
RP11-80C11	0.074665	0.129897
RP11-107C1	0.113335	0.071044
RP11-257P3	0.087601	0.038014
RP11-118O8	-0.035691	-0.004883
RP11-3J21	-0.0629	-0.014783
RP11-27I15	-0.118244	-0.052719
RP11-238H10	0.029852	0.0087365
RP11-131O16	-0.020299	-0.033931
RP11-131D12	-0.066699	-0.036826
RP11-125O21	-0.019729	0.000723
RP11-136H10	0.048304	0.032616
RP11-142F22	-0.031535	-0.012602
RP11-208E21	-0.118072	0.024166
RP11-10G10	-0.02968	0.020107
RP11-102K7	-0.012434	0.017276
CTD-2013D21	0.085484	0.123133
CTD-2005M12	-0.025796	-0.074824
RP11-24C23	-0.004588	0.071172
CTD-2178F17	0.054118	-0.078826
RP11-158K1	-0.106645	0.037607
RP11-110D15	0.077037	0.149547
RP11-229L23	-0.140559	-0.053028
RP11-150N13	-0.11416	0.046023
RP11-495D4	0.015758	0.051029
RP11-142P5	-0.033183	-0.012726
RP11-65D17	-0.035086	0.022728
RP11-128G18	-0.012837	-0.015004
RP11-145G10	-0.00639	0.040575
RP11-237F24	0.039048	-0.0412
RP11-227F7	-0.050007	-0.012715
RP11-94M13	-0.0228655	-0.016003
RP11-158G1	-0.0414	0.040754
RP11-128P9	0.013548	0.014471
RP11-184M21	0.004337	0.009471
RP11-88M23	-0.095127	0.021957
RP11-189E11	-0.060614	-0.023717
RP11-45B19	-0.074284	0.069386
RP11-21H16	-0.04797	-0.068349
RP11-28A4	-0.012447	-0.084428
RP11-17M8	-0.172123	0.865194
RP11-122H7	-0.073463	-0.009591
RP11-13A18	-0.073262	-0.029008
GS1-261I1	-0.062502	0.011626
CTB-41L13	0.035462	-0.041679
RP11-28N6	-0.104	-0.028155
RP11-122A20	-0.067122	0.02379
RP11-280I16	0.0576	0.036821
RP11-62H18	0.097017	0.068497
RP11-125K10	-0.070456	-0.014064
RP11-12N24	-0.058345	0.011619
CTD-2006L14	0.084221	0.070663
RP11-165O14	-0.025082	0.049549
RP11-50C21	-0.017289	-0.050686
RP11-264O11	-0.036419	0.045644
RP11-32D4	-0.065609	-0.038094
RP11-58B8	0.007803	0.025171
RP11-26K11	-0.04161	-0.040283
RP11-117J18	-0.306104	0.006595
RP11-115I23	-2.632487	0.034792
RP11-26H17	-0.137886	-0.003855
RP11-120J1	0.046806	0.189657
RP11-132G20	-0.072534	-0.027349
RP11-109M15	0.000584	0.173838
RP11-163F8	0.056387	0.047485
RP11-61D22	0.1055	0.080493
CTB-65D18	0.001705	-0.026845
RP11-33O15	-0.113566	0.025704
RP11-85J5	-2.7167	-0.092451
RP11-55P9	0.046282	0.038703
CTD-2170E19	0.013546	0.08461
RP11-235F7	-0.056967	0.074645
RP11-18A21	-0.025493	0.015858
RP11-70F16	0.0501	0.046017
RP11-52I10	0.034347	-0.040247
RP11-141J7	-0.07256	0.060213
RP11-118C13	0.035883	0.058265
RP11-115L5	-0.028974	0.041163
RP11-17J8	-0.157418	-0.001647
RP11-165H19	-0.021358	0.001198
RP11-37F22	-0.017274	-0.016941
RP11-61G7	0.004265	0.033126
RP11-39I6	0.037341	0.016724
RP11-154M9	-0.150701	-0.023414
RP11-61I3	0.04372	0.070731
RP11-144L7	-0.199906	-0.040036
CTD-2029L20	0.08208	0.078823
RP11-16N10	0.007913	-0.030701
RP11-44J18	0.039059	0.032557
RP11-19O14	-0.065927	0.000797
RP11-8L13	-0.077703	0.064773
RP11-54O21	-0.011246	0.072109
RP11-14J9	-0.083296	0.062988
RP11-57N18	0.015409	0.07971
RP11-136M18	-0.133144	-0.069379
RP11-56C1	-0.044678	0.011998
RP11-31D18	-0.120862	-0.002883
RP11-8D10	-0.08693	-0.017901
RP11-22C13	-0.112722	-0.112363
RP11-142P12	-0.1862	-0.081851
RP11-74F15	-0.080149	-0.033385
RP11-20B20	-0.144559	-0.067572
RP11-65C15	0.078092	-0.002625
RP11-41K9	0.019668	0.004466
RP11-65B23	0.071995	0.028909
RP11-88J16	-0.019324	0.012105
RP11-8C21	-0.163187	-0.089447
RP11-105E2	-0.034794	-0.039259
RP11-31N23	-0.192702	-0.181938
RP11-9I18	-0.044249	0.021806
RP11-95G21	-0.052931	0.051106
RP11-44O3	-0.047559	0.019964
RP11-128O12	-0.081101	0.03722
RP11-223A21	-0.037256	0.048229
RP11-54O15	0.028895	0.005809
RP11-106O17	0.054034	0.040904
RP11-34J23	-0.087319	0.05948
CTD-2105O17	0.003127	0.063193
CTD-2198F24	0.020642	0.078742
RP11-147H22	-0.057091	-0.045097
RP11-69F21	0.039053	0.041817
RP11-20E13	-0.112685	-0.031965
RP11-30N20	-0.015819	-0.023554
RP11-4B2	-0.102699	0.007208
RP11-84C18	-0.066274	0.005994
RP11-52E12	0.05211	0.090201
RP11-39L9	-0.072552	-0.005322
RP11-5K11	-0.171724	-0.038331
RP11-80F13	-0.081185	-0.014163
RP11-32M4	0.054019	0.05649
RP11-39J22	-0.098406	0.057503
RP11-81P13	-0.054689	-0.061445
RP11-57O13	0.04794	-0.007376
CTD-2020N9	-0.077662	-0.068295
RP11-4O1	-0.05393	-0.010786
RP11-95J4	0.05631	0.164011
RP11-10I9	-0.068827	-0.05404
RP11-46P18	0.170163	0.155004
RP11-9M16	-0.053749	0.031724
RP11-16A3	-0.060222	-0.00689
RP11-46E19	-0.199007	0.071654
RP11-44C14	-0.068017	0.029893
RP11-229N14	0.017869	-0.012167
RP11-150L1	-0.016468	0.018529
RP11-102F20	0.038102	0.070937
RP11-85P21	0.110695	0.042772
RP11-13C11	0.011092	0.027548
RP11-62A6	0.093548	0.053831
RP11-17O4	-0.139218	-0.071879
CTD-2280C3	0.091009	0.068884
RP4-763A4	-0.076841	-0.024238
RP11-130E20	-0.0488	-0.033982
RP11-40A7	-0.04927	-0.015597
CTD-3145B15	-0.034003	0.059367
CTD-2063K20	-0.068138	-0.029497
GS1-135I17	-0.063434	-0.100091
GS1-23B11	0.027334	0.034983
RP11-10D13	0.021706	-0.033894
RP11-69N2	0.129542	-0.04513
RP11-180C18	-0.002678	-0.005915
RP11-111O7	-0.040721	-0.004582
RP11-6H14	-0.022048	-0.090167
RP11-23O12	-0.012438	0.005623
RP11-59D4	-0.048765	-0.055204
RP11-77O20	0.006332	-0.035838
RP11-5B23	-0.136776	-0.00167
RP11-85M7	0.039714	-0.050633
RP11-33J8	0.109674	0.028053
RP11-72C6	-0.0080465	-0.011099
RP11-197K17	0.130958	-0.000771
RP11-42I17	-0.021615	-0.035324
RP11-35I11	-0.024576	-0.070382
RP11-11L13	0.029561	-0.054977
RP11-40D12	-0.018106	-0.049787
RP11-61P15	0.086128	0.051075
RP11-22K18	0.074801	-0.004999
RP11-19L14	0.026933	-0.046273
RP11-22B24	0.102423	0.022356
RP11-60J16	0.084892	0.002949
RP11-34I5	0.005611	0.041469
RP11-230A13	-0.131112	-0.103877
RP11-18B14	-0.014091	-0.109448
RP11-43K6	-0.031994	0.05283
RP11-14A8	0.042092	0.015814
RP11-200C22	0.046402	-0.011284
CTD-2108N10	0.015871	-0.017647
RP11-66F24	-0.000806	-0.041221
RP11-73E18	0.00381	0.055288
RP11-73J23	0.062192	-0.022318
RP11-176P2	0.008781	0.031069
RP11-75N18	0.030784	0.026643
RP11-29I13	0.065891	-0.092738
RP11-66P13	-0.015261	-0.085391
RP11-15H10	-2.49769	-0.104002
RP11-181I11	-0.008517	-0.040691
RP11-45L17	0.051883	0.013931
RP11-70B16	-0.031533	-0.109346
RP11-48O11	0.001532	-0.069103
RP11-20J15	0.029558	0.00597
RP11-127L3	0.024134	-0.022012
RP11-92I18	0.012699	-0.066097
RP11-27P22	0.072087	0.009717
RP11-71N21	-0.08481	-0.049759
RP11-240K9	0.063255	-0.03543
RP11-67O23	-0.015781	-0.077333
RP11-133C15	0.094825	-0.021904
RP11-179B15	-9.2e-05	0.008589
RP11-50A5	0.075463	-0.082345
RP11-72F15	0.046743	-0.010446
RP11-8E20	0.038971	-0.030479
RP11-14I14	0.018846	-0.031931
RP11-237J7	-0.007593	-0.015986
RP11-33O2	-0.025598	-0.036891
RP11-280H23	0.023211	0.00166
RP11-99D16	0.000775	-0.05348
RP11-86K9	0.035857	-0.031423
RP11-6P16	-0.045112	-0.090924
RP11-52K17	-0.135736	-0.093685
RP11-104F15	0.159909	0.000231
RP11-41F17	0.095851	-0.087901
RP11-29P24	0.033061	-0.098791
RP11-58O1	0.044454	-0.005452
RP11-50K4	0.021659	-0.042394
RP11-69I18	0.078051	-0.01662
RP11-28E3	-0.170925	-0.131043
RP11-282N18	0.048302	-0.005366
RP11-152N13	0.092313	0.05509
RP11-243C1	-0.094971	0.060967
RP11-62E15	-0.044177	-0.054957
RP11-112F5	0.010208	0.004171
RP11-45P20	0.059967	0.056018
RP11-19C18	0.211542	0.072478
RP11-17O5	-0.031921	-0.043648
RP11-78F9	0.016523	0.048844
RP11-31L4	0.125495	-0.007401
RP11-93O23	0.158929	0.048268
RP11-284D10	0.06556	0.05142
RP11-9M11	0.044848	-0.054189
RP11-2044M21	-0.066803	0.043124
CTB-46B12	0.001181	-0.018913
RP11-129G17	0.039974	-0.084869
RP11-79M5	0.04716	0.010162
RP11-8D20	0.047927	-0.057792
RP11-123G19	0.085669	0.0465
RP11-19K9	-0.0085	-0.050957
CTD-2022D20	-0.013233	-0.092497
RP11-80H11	0.092495	0.057518
RP11-4G4	0.051369	-0.004129
RP11-260L2	0.023366	0.093781
RP11-34D15	-0.007235	0.020105
RP11-37L21	-0.026092	-0.024296
RP11-105N15	0.129537	0.0312
RP11-21N23	0.002693	0.008142
RP11-16H23	-0.055823	-0.004592
RP11-287G20	0.081424	0.076857
RP11-128H11	-0.005988	-0.078826
RP11-41D21	-0.009748	-0.03198
RP11-246B13	0.097654	0.082806
RP11-49H17	0.041734	-0.011679
RP11-3G2	0.044837	0.016548
RP11-182C2	0.067251	0.013727
RP11-182P7	0.032415	0.008763
RP11-1I16	0.131252	0.003112
RP11-31O24	0.190212	0.049724
RP11-106N20	0.078587	0.030792
RP11-46G13	0.027341	0.033146
RP11-32I9	0.084217	0.007911
RP11-51G15	-0.068216	-0.09475
RP11-77E11	-0.005511	-0.01794
RP11-48B22	0.057453	0.032705
RP11-257O17	-0.010164	-0.094958
RP11-7P17	-0.075555	-0.039309
GS-126B28	0.050923	-0.010724
RP11-255D5	-0.106275	-0.08891
RP11-262E19	0.058681	-0.05493
RP11-162A23	-0.14242	-0.05998
RP11-70E19	-0.114941	-0.109323
RP11-47G11	-0.007662	-0.048606
RP11-5M6	-0.026694	-0.032893
RP11-8O10	0.061019	-0.035813
RP11-16P8	-0.144074	0.027816
RP11-32H11	-0.016107	0.046996
RP11-42K2	-0.033616	0.079347
RP11-31A20	0.007155	-0.090463
RP11-48A2	-0.177131	-0.156159
RP11-142I8	-0.080275	-0.071658
RP11-27F2	-0.046103	-0.068341
RP11-35C24	0.054854	-0.024664
GS1-261B16	0.047577	-0.033287
RP1-44H16	-0.115196	-0.124734
CTD-2101H1	0.094576	0.033491
GS-137C7	-0.075146	-0.075152
RP4-693L23	-0.080074	-0.136276
RP11-120E20	0.013082	-0.02826
RP11-209M9	0.081952	-0.016071
RP11-222J5	-0.075931	-0.064353
RP11-57F14	0.023338	-0.028623
RP11-98L18	-0.104468	-0.074435
RP11-30I3	-0.0389	-0.035808
RP11-205O15	0.118535	-0.012233
RP11-25D22	0.00113	-0.053449
RP11-133H19	0.031393	0.020515
RP11-33H21	-0.039024	0.011102
RP11-28I11	-0.027633	-0.004631
RP11-170F20	0.020258	0.032587
RP11-47D7	-0.127973	-0.104152
RP11-82L24	0.002417	0.040102
RP11-156A13	-0.05793	-0.017441
RP11-206L19	-0.050548	-0.006883
RP11-170H2	0.074014	-0.01034
RP11-245K9	0.015614	0.080276
RP11-98J9	-0.175333	-0.024167
RP11-21L19	-0.006842	0.020948
RP11-72L17	0.032393	-0.054611
RP11-7O20	0.089501	0.015783
RP11-39F19	0.101036	0.032695
RP11-79N15	0.106857	-0.011326
RP11-166E15	0.063644	-0.006148
RP11-23E5	0.026816	0.000694
RP11-89P14	0.044911	0.025692
RP11-80B10	0.091387	-0.048618
RP11-13O19	0.03671	0.019138
RP11-199K11	0.174502	0.035951
RP11-62G18	-0.035623	0.002418
RP11-11A11	0.032285	0.089118
RP11-2C23	-0.02221	-0.007606
RP11-56J22	0.087171	0.019075
RP11-15A11	0.031993	-0.035335
RP11-230G20	-0.128444	0.055369
RP11-203L7	0.142228	0.027088
RP11-16H3	-0.087079	0.042432
RP11-1L12	0.007888	-0.018094
RP11-236N9	-0.126969	-0.013658
RP11-113M18	-0.206754	-0.1932
RP11-246J1	0.123275	0.0177
RP11-147L8	-0.205647	0.000976
RP11-215F2	0.066725	0.034759
RP11-193O9	-0.044687	-0.014099
CTD-2208J5	-0.183778	-0.04446
CTD-2115C17	-0.046905	-0.128772
RP11-127K23	0.080817	0.032626
RP11-51J14	0.064802	0.041006
RP11-102C11	0.114712	0.061593
RP11-283O4	0.020931	0.00066
RP11-3E12	-0.030302	-0.016026
RP11-90F13	-0.027227	-0.057978
RP11-145B20	0.034676	0.024229
RP11-128F16	-0.064989	-0.077532
RP11-103P20	0.017157	-0.013796
RP11-36H11	0.119609	0.057579
RP11-219O3	-0.037142	-0.003102
RP11-187A8	0.073214	-0.064613
RP11-102N4	-0.121778	-0.16811
RP11-72A10	-0.018124	-0.002075
RP11-18B9	-0.056645	-0.022238
RP11-114G6	0.038983	-0.02477
RP11-34F8	-0.012022	-0.042461
RP11-79G4	-0.096726	-0.066334
RP11-150D18	-0.024179	0.007372
RP11-18D13	-0.042787	-0.019616
RP11-12D19	-0.062521	-0.017017
RP11-102E22	-0.046286	-0.086886
CTD-2337C7	-0.001209	-0.157749
RP11-12C11	-0.124554	-0.005489
RP11-206I1	-0.133931	-0.022992
RP11-195J3	-0.002456	0.020559
RP11-29O22	-0.043507	-0.034411
RP11-39G12	-0.012621	-0.062435
RP11-56E13	0.05749	0.014931
RP11-85A19	-0.080781	0.024695
RP11-171I8	0.023105	0.020005
RP11-222G13	0.17592	0.113863
RP11-135H8	-0.06506	-0.020104
RP11-77M17	-0.036216	-0.0026
RP11-75H24	-0.023837	-0.081096
CTD-2029K8	0.00121	-0.030496
RP11-568F15	-0.246596	-0.058947
RP11-205I14	0.157744	0.064734
RP11-729B4	0.082213	-0.003736
RP11-49D19	-0.103637	-0.025667
RP11-35F11	-0.115667	-0.013158
RP11-660B16	-2.866078	-0.031781
CTD-2220I9	-0.004014	-0.039802
RP11-867O8	0.030053	0.001691
RP11-9K14	-0.116986	-0.024155
RP11-675B4	-2.457613	0.110902
RP11-527H7	-0.142512	-0.043683
RP11-15L8	-0.073912	-0.046082
RP11-20K4	0.010428	-0.056443
RP11-160L9	-0.043657	0.04564
RP11-149G19	-0.042023	0.041459
CTD-2080I19	-0.056241	-0.10319
RP1-88B16	-0.075919	-0.000295
CTD-2192B11	-0.101414	-0.133134
RP1-4E16	-0.085219	0.01306
RP1-17L4	-0.016471	-0.006399
CTB-36F16	-0.082325	-0.0435945
CTC-437H15	-0.001932	-0.050633
RP11-120P20	0.02176	-0.079471
RP11-256P19	-0.096403	-0.03874
RP11-51M9	-0.06047	-0.049558
RP11-96D22	-0.146338	-0.087166
RP11-456I15	-0.033997	-0.035102
RP11-102M18	-0.022707	-0.037913
RP11-168B13	-0.092045	-0.051973
RP11-91P18	0.014715	-0.056414
RP11-165C10	-0.125268	0.007367
RP11-119C13	-0.148423	-0.038011
RP11-672A2	0.139683	0.051557
CTC-352E23	0.032704	-0.037314
GS-7N12	-0.060407	-0.026637
RP11-98G24	0.024897	-0.005448
RP11-7H7	-0.022147	0.04602
RP11-215H8	-0.022947	-0.109397
RP11-34L12	-0.04435	0.010595
RP11-102K15	-0.039788	-0.063845
RP11-40G3	-0.028447	-0.023302
RP11-342A16	-0.024403	0.039162
RP11-131C11	-0.127377	-0.002574
RP11-119M23	-0.116115	0.006687
RP11-233M1	0.012523	-0.029969
RP11-89H11	-0.118658	-0.025191
RP11-163O18	-0.044229	0.02337
RP11-816P15	0.090632	-0.046848
RP11-217E8	-0.029083	-0.041665
RP11-267L1	-0.052774	0.014916
RP11-258C1	-0.049253	-0.052004
RP11-5G24	-0.23381	-0.079534
RP11-134G19	0.048371	-0.043135
CTD-2039C11	-0.189963	-0.085084
RP11-817J15	0.080392	-0.008469
RP11-750P5	0.147304	0.022906
RP11-33F6	-0.038317	-0.020835
RP11-179B7	-0.136413	0.011573
CTD-2012D15	0.009502	-0.148956
RP11-51M23	-0.069219	-0.017811
RP11-85F4	-0.05624	-0.038112
RP11-276O11	0.050119	-0.033433
RP11-42L18	-0.023416	-0.033625
RP11-964M3	-0.055088	0.026088
CTD-2057A4	-0.00178	0.039164
RP11-2F21	-0.069465	0.012924
RP11-759M17	0.087958	0.046044
RP11-262J9	0.003353	0.02202
RP11-47N15	-0.133151	-0.101097
CTD-2059P15C	0.049792	-0.075875
RP11-5N6	-0.047738	-0.102616
RP11-36M5	-0.190826	-0.031969
RP11-279M1	-0.154728	-0.01257
CTD-2222B22	-0.047941	0.048728
RP11-35P15	-0.005327	0.01816
GS-415O24	0.030455	0.000184
RP11-45N4	-0.065105	0.012276
RP11-62A14	-0.106181	-0.035483
RP11-8K10	-0.068624	-0.063891
RP11-94C16	-0.045297	-0.048658
RP11-117K21	-0.010545	0.027964
RP11-133I16	-0.051669	-0.016211
RP11-126D18	-0.035438	-0.039166
RP11-145I11	-0.069495	0.017215
RP11-87O12	-0.095882	-0.057988
RP11-35M6	-0.046433	-0.035817
RP11-15J15	-0.038452	-0.051664
RP11-20M1	-0.066674	-0.011782
RP11-41K5	-0.042385	0.026566
RP11-112M22	-0.041395	0.031632
RP11-7F12	0.009929	-0.104151
RP11-17M17	-0.06856	0.015173
RP11-27H17	-0.099676	-0.084456
RP1-26N8	0.015918	-0.04759
GS1-124K20	-0.085485	-0.049526
RP11-110K11	-0.045515	-0.04969
RP11-24N12	0.112531	0.043006
RP11-74M9	-0.064631	0.033598
CTD-2058B1	-0.013239	0.009687
CTC-298G6	-0.048881	-0.030374
RP11-272L6	0.017107	-0.046596
RP11-166G2	0.051827	-0.002788
RP11-96K24	-0.177143	-0.028043
RP11-174L5	0.080748	-0.008791
RP11-233G1	-0.092024	-0.067237
CTD-2027F9	0.033516	-0.02084
RP11-206D16	0.083315	-0.023696
RP11-85G7	-0.006515	0.040447
RP11-49G2	0.156075	0.144994
GS-490C21	-0.071443	0.034937
RP11-64J22	-0.060071	-0.007083
RP11-53C3	0.032043	-0.049764
RP11-64N21	0.162305	0.100715
RP11-100P18	-0.002839	0.004487
RP11-78F16	0.109281	0.053443
RP11-73I12	-0.109444	0.011633
RP11-56J24	-0.01777	-0.00619
RP11-38F11	0.162782	0.095867
RP11-29G23	0.072769	0.117508
CTD-2043O8	0.038514	-0.021266
RP11-270J9	-0.009227	0.013777
GS-400H17	-0.047951	-0.110829
RP11-25K5	0.185056	0.062101
RP11-112M10	-0.078886	0.003795
RP11-32K17	0.057428	0.082408
RP11-88M8	0.013918	-0.102655
RP11-74I8	0.000313	-0.049073
RP11-97N16	0.006706	-0.059883
RP11-101H10	-0.1113	-0.007323
RP11-132H4	-0.055654	0.05702
CTD-2042H22	0.017882	0.059627
GS-561N1	-0.055052	-0.080365
RP11-39G24	-0.051718	0.074364
RP11-276L24	0.008753	-0.000211
RP11-97A6	-0.119316	0.012008
RP11-61P1	0.105116	-0.033428
RP11-263K23	0.030823	0.004031
RP11-196H14	-0.019563	0.059122
RP11-220L3	0.037003	-0.011662
RP11-16M7	0.034441	0.070247
RP11-18B8	0.132041	0.070222
RP11-109L8	0.006768	-0.030471
RP11-184C7	0.075846	-0.025658
RP11-5J6	0.057552	0.028476
CTB-82N15	-0.052343	0.00453
CTB-136O14	0.041355	-0.006889
RP11-15L3	-0.057174	0.102746
RP11-92P22	-0.11349	-0.088537
RP11-96F19	-0.153527	-0.006533
RP11-230I13	0.107789	-0.001664
RP11-114G18	-0.103174	-0.000972
CTD-2017D5	-0.007604	-0.004111
RP11-51M11	-0.008945	0.026824
RP11-89F16	-0.096704	0.025941
RP11-141N1	0.126433	0.029421
RP11-166E4	0.131916	0.033135
RP11-82I16	-0.00603	0.01274
RP11-74K11	0.057861	0.029208
RP11-215G13	0.044828	-0.024176
RP11-31A19	0.112168	0.085039
RP11-261M2	0.035865	-0.006457
RP11-282G15	0.055696	-0.030483
RP11-69E3	-0.000555	-0.080912
RP11-89E9	-0.063374	-0.060955
RP11-165H12	0.121074	-0.016532
RP11-18F1	0.131598	0.041731
RP11-18J7	0.086434	0.107313
CTD-2057C13	0.060606	0.006374
RP11-252C8	0.000404	0.01769
RP11-5O2	0.114321	0.058939
CTD-2022D21	0.09659	0.046521
RP11-83G24	-0.14805	0.008305
RP11-141F8	0.075041	-0.028572
RP11-110L13	-2.670158	0.059316
RP11-3P19	0.215701	0.042891
RP11-3E7	0.023419	0.007668
RP11-287D11	0.035883	-0.036778
CTD-2035H5	0.002772	0.021426
CTD-2003I23	0.024777	0.045546
CTD-2055G11	-0.014264	-0.017404
RP11-119J23	-0.110435	-0.066352
RP11-89J2	0.031528	-0.054506
RP11-284P8	-3.477512	0.067891
RP11-78D24	-0.065931	-0.051904
